YEAR,REGION,STATEFIP,COUNTY,METRO,ASECWT,AGE,SEX,RACE,OCC,UHRSWORK1,EDUC,SCHLCOLL,INCWAGE,OFFTOTVAL,POVERTY
2024,42,6,6073,2,3152.88,43,2,200,2310,40,111,5,50000,56001,23
2024,32,28,0,3,966.76,69,1,200,0,999,81,0,0,18779,22
2024,33,22,22051,3,1537.41,74,2,100,0,999,81,0,0,146022,23
2024,33,48,48485,4,2101.87,58,2,100,5810,40,73,0,30000,85587,23
2024,21,18,0,2,2855.14,27,1,805,4760,28,73,5,25000,25000,23
2024,33,48,0,2,2417.1,53,1,200,8830,997,92,5,46900,207925,23
2024,31,45,45051,4,1478.85,44,2,100,5250,38,91,5,44000,53408,23
2024,33,48,0,2,1948.4,61,2,100,440,30,81,0,0,30000,23
2024,22,29,29189,3,3080.07,19,1,200,4230,37,73,5,17000,45000,21
2024,22,20,0,4,1398.99,40,2,100,3603,36,92,5,27000,99032,23
2024,22,31,0,1,1163.76,85,2,100,0,999,73,0,0,15194,21
2024,33,22,22033,3,1384.12,67,2,100,4230,997,73,0,0,7440,10
2024,21,39,0,3,3138.43,31,2,100,3150,40,123,5,70000,172267,23
2024,42,6,6067,3,2614.33,4,2,100,0,999,1,0,99999999,68001,23
2024,21,18,0,1,1925.66,12,1,100,0,999,1,0,99999999,70000,23
2024,22,38,0,1,201.14,10,1,100,0,999,1,0,99999999,36000,21
2024,22,31,0,1,1075.47,10,1,100,0,999,1,0,99999999,82451,23
2024,21,26,26099,3,4013.04,57,2,100,3602,37,91,0,31393,46493,23
2024,42,53,0,1,3977.58,75,2,100,0,999,73,0,0,125659,23
2024,42,6,6061,3,3009.08,59,2,200,0,999,73,0,0,9924,10
2024,31,45,0,1,2096.34,67,1,200,0,999,50,0,0,43654,22
2024,11,25,25021,3,2823.68,58,2,100,2310,30,111,0,56500,144145,23
2024,42,6,6061,3,2992.41,39,1,100,51,40,123,5,125000,200923,23
2024,21,39,0,3,1993.96,14,2,100,0,999,1,0,99999999,195299,23
2024,42,15,0,4,515.71,61,2,806,2545,40,73,0,25000,82001,23
2024,41,8,0,1,2116.38,35,2,100,850,39,92,5,74000,219310,23
2024,11,33,33011,2,799.49,80,2,100,0,999,81,0,0,95894,23
2024,21,55,0,1,2506.88,26,2,100,5630,50,73,5,50000,50200,23
2024,31,24,24031,3,3355.88,11,2,100,0,999,1,0,99999999,224111,23
2024,32,1,0,1,2218.72,58,1,100,8365,40,73,0,28160,140225,23
2024,12,36,36103,3,6337.08,26,1,100,850,40,123,5,75000,490473,23
2024,42,53,53033,2,1631.39,12,2,100,0,999,1,0,99999999,244123,23
2024,31,12,12099,3,4216.27,37,2,200,3255,40,111,5,45000,125313,23
2024,41,4,4013,3,2602.87,19,2,100,4760,20,73,5,55000,198000,23
2024,22,31,0,4,730.08,11,1,100,0,999,1,0,99999999,142350,23
2024,41,30,0,4,406.2,15,1,100,0,999,50,0,0,75000,23
